Hash,Git-User, Date/Time,ChangeMade
01ecd9a,Chinedu Nnaji,Sun Nov 10 16:51:21 2019 -0500,task: added log csv
ab0b29d,Chinedu Nnaji,Sun Nov 10 16:46:06 2019 -0500,task: added log csv
d1a02ce,Chinedu Nnaji,Sun Nov 10 16:43:04 2019 -0500,task: added log.csv
5050e05,ChineduN,Sun Nov 10 16:42:13 2019 -0500,Update README.md
5e5beb4,Chinedu Nnaji,Sun Nov 10 16:41:01 2019 -0500,task: read me commit logt
6daa95b,rutvik2611,Sun Nov 10 16:06:07 2019 -0500,Fix:Use split function for Varaince of sample proportion
2ee55fb,rutvik2611,Sun Nov 10 16:04:37 2019 -0500,Fix:Use split function for sample mean and sample stdev
aaa48eb,rutvik2611,Sun Nov 10 16:04:08 2019 -0500,Fix:Update Result and test case
e8e10a7,rutvik2611,Sun Nov 10 16:03:37 2019 -0500,Feature:Made a splut list function for sample
7d08b37,ChineduN,Sun Nov 10 01:24:53 2019 -0500,fix : read me
74a383c,Chinedu Nnaji,Sun Nov 10 01:23:24 2019 -0500,fix : read me and deleted vpop and samppop
01054bf,rutvik2611,Sat Nov 9 20:46:24 2019 -0500,Fix:Median Test
8ff49d0,rutvik2611,Sat Nov 9 18:14:08 2019 -0500,Feature:Variance_of_sample_proportion Function and unit test
216a8e5,rutvik2611,Sat Nov 9 17:57:13 2019 -0500,Feature:Variance_of_population_proportion Function and unit test
858880f,ChineduN,Sat Nov 9 14:52:42 2019 -0500,fix: readme
0492daf,ChineduN,Sat Nov 9 14:52:19 2019 -0500,fix : fixed readme
81b21a3,Chinedu Nnaji,Sat Nov 9 14:25:12 2019 -0500,fix : csv test
60c19b0,Chinedu Nnaji,Sat Nov 9 14:21:39 2019 -0500,fix: Travis and Dockering running
effa2cb,Chinedu Nnaji,Sat Nov 9 14:20:41 2019 -0500,fix: Travis and Dockering running
5844467,Chinedu Nnaji,Sat Nov 9 13:52:29 2019 -0500,task : test
5a79226,rutvik2611,Sat Nov 9 13:14:59 2019 -0500,fix:Removed emp_birthday csv
1f95bc0,rutvik2611,Sat Nov 9 13:13:09 2019 -0500,Feature:Added
294dfb3,rutvik2611,Sat Nov 9 13:05:24 2019 -0500,Feature:Added test_csvreader csv
913f29f,rutvik2611,Sat Nov 9 13:04:56 2019 -0500,Feature:Added emp_birthday csv
c7fead3,Chinedu Nnaji,Sat Nov 9 04:07:25 2019 -0500,task : running screenshots
1ce83b2,Chinedu Nnaji,Sat Nov 9 04:01:23 2019 -0500,fix : for Travis
4596579,Chinedu Nnaji,Sat Nov 9 03:46:24 2019 -0500,fix : for Travis
4d942a0,Chinedu Nnaji,Sat Nov 9 03:44:07 2019 -0500,fix : for Travis
a8b5768,Chinedu Nnaji,Sat Nov 9 03:41:43 2019 -0500,Merge branch 'master' of https://github.com/cen24/miniproject2
e80891e,Chinedu Nnaji,Sat Nov 9 03:41:12 2019 -0500,fix: fix source for CSV for Dockerfile build
796ea3f,rutvik2611,Sat Nov 9 02:24:41 2019 -0500,Fox:made some comment for later work
6cebc09,rutvik2611,Sat Nov 9 02:07:07 2019 -0500,feature:Unit Test for samplestdev
7838c4d,rutvik2611,Sat Nov 9 01:55:54 2019 -0500,Fix:pvalue and tested it
48e0d19,rutvik2611,Sat Nov 9 01:50:44 2019 -0500,Fix:name of test case
b711c70,rutvik2611,Sat Nov 9 01:50:04 2019 -0500,Feature:Test Case for pvalue
2a001c1,rutvik2611,Sat Nov 9 01:44:21 2019 -0500,Feature:Varaince of population.py added a new file
ef7cc22,Chinedu Nnaji,Sat Nov 9 01:33:13 2019 -0500,Feature: P value
2ce3984,rutvik2611,Sat Nov 9 01:11:28 2019 -0500,Fix:test_population_correlation_coefficient(with 2nd array in array3.csv ) + function call for same in extededstat
8b2638e,Chinedu Nnaji,Sat Nov 9 00:46:17 2019 -0500,Feature: Pop Corelation Coef
80f778d,rutvik2611,Sat Nov 9 00:40:36 2019 -0500,Fix:need Population correlation coefficient using numpy1
1cf331c,rutvik2611,Sat Nov 9 00:39:47 2019 -0500,Fix:need Population correlation coefficient using numpy
0deca9e,rutvik2611,Sat Nov 9 00:12:53 2019 -0500,Feature:Population_correlation coefficent py
7caac39,rutvik2611,Fri Nov 8 22:41:37 2019 -0500,Feature:Fix Samplemean
b8de7c5,Chinedu Nnaji,Fri Nov 8 22:40:38 2019 -0500,fix: code and reade me
19419bb,Chinedu Nnaji,Fri Nov 8 22:20:32 2019 -0500,fix: class in extendedstat
ccb457e,Chinedu Nnaji,Fri Nov 8 22:14:03 2019 -0500,feature :  variance of sample and pop proportion added
1e8e169,Chinedu Nnaji,Fri Nov 8 21:57:33 2019 -0500,task : deleted test CSV reader
c8cf584,rutvik2611,Fri Nov 8 21:53:18 2019 -0500,Feature:Test for sample mean
ce841bc,Chinedu Nnaji,Fri Nov 8 20:34:58 2019 -0500,task : test CSV reader
48a32ab,Chinedu Nnaji,Fri Nov 8 20:34:27 2019 -0500,task : test CSV reader
025b016,Chinedu Nnaji,Fri Nov 8 16:43:15 2019 -0500,fix : fixed stats calc & absolutepath
b56ab00,rutvik2611,Fri Nov 8 14:38:47 2019 -0500,Feature:unit test for samplemean
9e1adf5,rutvik2611,Fri Nov 8 14:13:52 2019 -0500,Feature:populationvar,samplevar and zscore Test units
